"Story","Title","Result","Date","Stability","Duration (s)"
"Crear usuario en aplicativo OrangeHRM","Crear usuario","SUCCESS","2022-06-18T12:27:25.5793741-05:00[America/Bogota]","0.0","36.1"
"Login en aplicativo OrangeHRM","Login exitoso OrangeHRM","SUCCESS","2022-06-11T12:47:14.3392223-05:00[America/Bogota]","0.0","13.75"
